Group Number,Arabic Group Name,English Group Name,Operator,Purpose/Usage,Example,Note,Example_Vocalized
4,أداة نداء للقريب,Vocative and Exception (Accusative Only),أَيْ,للنداء,أي تائبا إلى ربه,أي: حرف نداء، تائبا: منادى منصوب,أَيَّ تَائِبًا إِلَى رَبِّهِ
4,أداة نداء للقريب,Vocative and Exception (Accusative Only),أَ,للنداء,أعبد الله,أ: حرف نداء، عبد: منادى منصوب,أَعْبُدِ اللَّهَ
5,أداة نصب ومصدر,Accusative Only (Purposive and Negating),أَنْ,للمصدرية,يجوز لك أن تنصرف,أن: حرف مصدر ونصب، تنصرف: فعل مضارع منصوب,يَجُوزُ لَكَ أَنْ تَنْصَرِفَ
5,النصب فقط الغرضية والنافية,Accusative Only (Purposive and Negating),لَنْ,للنفي,لن ينجح الكسلان,لن: حرف نفي ونصب، ينجح: فعل مضارع منصوب,لَنْ يَنْجَحَ الْكَسْلَانُ
5,النصب فقط الغرضية والنافية,Accusative Only (Purposive and Negating),كَيْ,للغرض,جئتك كي أتعلم,كي: حرف مصدر ونصب، أتعلم: فعل مضارع منصوب,جِئْتُكَ كَيْ أَتَعَلَّمَ
5,النصب فقط الغرضية والنافية,Accusative Only (Purposive and Negating),إِذًا,للجواب,إذن تفلح,إذن: حرف جواب ونصب، تفلح: فعل مضارع منصوب,إِذًا تُفْلِحَ
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),لَمْ,للنفي,لم يكتب زيد,لم: حرف نفي وجزم، يكتب: فعل مضارع مجزوم,لَمْ يَكْتُبْ زَيْدٌ
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),لَمَّا,للنفي,لما أكتب,لما: حرف نفي وجزم، أكتب: فعل مضارع مجزوم,لَمَّا أَكْتُبْ
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),لِ,للأمر,لينصر,لام الأمر: حرف، ينصر: فعل مضارع مجزوم,لِيَنْصُرْ
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),لَا,للنهي,لا تضرب,لا الناهية: حرف نهي، تضرب: فعل مضارع مجزوم,لَا تَضْرِبْ
6,الجزم فقط النافية والشرطية,Jussive Only (Negating and Conditional),إِنْ,للشرط,إن تضرب أضرب,إن: حرف شرط جازم، تضرب: فعل شرط مجزوم، أضرب: جواب مجزوم,إِنْ تَضْرِبْ أَضْرِبْ
7,الشرط الجازمة فقط,Conditional (Jussive Only),مَنْ,للشرط,من يرحم يرحم,من: اسم شرط جازم، يرحم: فعل شرط مجزوم، يرحم: جواب مجزوم,مَنْ يَرْحَمْ يُرْحَمْ
7,الشرط الجازمة فقط,Conditional (Jussive Only),مَا,للشرط,ما تفعل أفعل,ما: اسم شرط جازم، تفعل: فعل شرط مجزوم، أفعل: جواب مجزوم,مَا تَفْعَلْ أَفْعَلْ
7,الشرط الجازمة فقط,Conditional (Jussive Only),أَيّ,للشرط,أيا تضرب أضربه,أيَّ: اسم شرط جازم، تضرب: فعل شرط مجزوم، أضربه: جواب مجزوم,أَيَّا تَضْرِبْ أَضْرِبْهُ
7,الشرط الجازمة فقط,Conditional (Jussive Only),مَتَى,للشرط,متى تكتب أكتب,متى: اسم شرط جازم، تكتب: فعل شرط مجزوم، أكتب: جواب مجزوم,مَتَى تَكْتُبْ أَكْتُبْ
7,الشرط الجازمة فقط,Conditional (Jussive Only),مَهْمَا,للشرط,مهما تكتب أكتب,مهما: اسم شرط جازم، تكتب: فعل شرط مجزوم، أكتب: جواب مجزوم,مَهْمَا تَكْتُبْ أَكْتُبْ
7,الشرط الجازمة فقط,Conditional (Jussive Only),أَيْنَمَا,للشرط,أينما تنزل أنزل,أينما: اسم شرط جازم، تنزل: فعل شرط مجزوم، أنزل: جواب مجزوم,أَيْنَمَا تَنْزِلْ أَنْزِلْ
7,الشرط الجازمة فقط,Conditional (Jussive Only),أَنَّى,للشرط,أنى تستقم تربح,أنَّى: اسم شرط جازم، تستقم: فعل شرط مجزوم، تربح: جواب مجزوم,أَنَّى تَسْتَقِمْ تَرْبَحْ
7,الشرط الجازمة فقط,Conditional (Jussive Only),حَيْثُمَا,للشرط,حيثما تستقم يقدر لك الله نجاحا,حيثما: اسم شرط جازم، تستقم: فعل شرط مجزوم، يقدر: جواب مجزوم,حَيْثُمَا تَسْتَقِمْ يَقْدَرْ لَكَ اللَّهُ نَجَاحًا
7,الشرط الجازمة فقط,Conditional (Jussive Only),إِذْمَا,للشرط,إذما تذهب أذهب,إذما: اسم شرط جازم، تذهب: فعل شرط مجزوم، أذهب: جواب مجزوم,إِذْمَا تَذْهَبْ أَذْهَبْ
7,الشرط الجازمة فقط,Conditional (Jussive Only),لَوْ,للشرط,لو تقدم تنجح,لو: حرف شرط جازم، تقدم: فعل شرط مجزوم، تنجح: جواب مجزوم,لَوْ تَقَدَّمْ تَنْجَحْ
7,الشرط الجازمة فقط,Conditional (Jussive Only),إِذَا,للشرط,إذا تتعلم تفلح,إذا: حرف شرط جازم، تتعلم: فعل شرط مجزوم، تفلح: جواب مجزوم,إِذَا تَتَعَلَّمْ تُفْلِحْ
8,التمييز الناصبة فقط,Specification (Accusative Only),عَشَرَةَ,للعدد,رأيت أحد عشر كوكبا,أحد عشر: اسم عدد مركب، كوكبا: تمييز منصوب,رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا
8,التمييز الناصبة فقط,Specification (Accusative Only),كَمْ,للاستفهام عن العدد,كم دارا بنيت؟,كم: اسم استفهام، دارا: تمييز منصوب,كَمْ دَارًا بَنَيْتَ؟
8,التمييز الناصبة فقط,Specification (Accusative Only),كَأَيِّنْ,للخبر عن العدد,كأين عبدا ملكت,كأين: اسم بمعنى كم، عبدا: تمييز منصوب,كَأَيْنَ عَبْدًا مَلَكْتَ
8,التمييز الناصبة فقط,Specification (Accusative Only),كَذَا,للكناية عن العدد,كذا وكذا درهمًا ملكت,كذا: اسم كناية، درهمًا: تمييز منصوب,كَذَا وَكَذَا دِرْهَمًا مَلَكْتَ
8,التمييز الناصبة فقط,Specification (Accusative Only),مِائَةَ,للعدد,ملكت مائة درهم,مائة: اسم عدد، درهم: تمييز منصوب,مَلَكْتَ مِائَةَ دِرْهَمٍ
8,التمييز الناصبة فقط,Specification (Accusative Only),أَلْفَ,للعدد,رأيت ألف رجل,ألف: اسم عدد، رجل: تمييز منصوب,رَأَيْتُ أَلْفَ رَجُلٍ
8,التمييز الناصبة فقط,Specification (Accusative Only),أُلُوفَ,للعدد,ملكت ألوف دراهم,ألوف: اسم عدد، دراهم: تمييز منصوب,مَلَكْتَ أَلْوَفَ دَرَاهِمَ
8,التمييز الناصبة فقط,Specification (Accusative Only),مَلَايِينَ,للعدد,جمعت ملايين درهم,ملايين: اسم عدد، درهم: تمييز منصوب,جَمَعْتُ مَلَايِينَ دِرْهَمٍ
8,التمييز الناصبة فقط,Specification (Accusative Only),أَيَّةَ,للاستفهام عن النوع,أية كتابا قرأت؟,أية: اسم استفهام، كتابا: تمييز منصوب,أَيَّةَ كِتَابًا قَرَأْتَ؟
8,التمييز الناصبة فقط,Specification (Accusative Only),كَيْتَ,للاستفهام عن الكمية,كيت مالا جمعت؟,كيت: اسم استفهام، مالا: تمييز منصوب,كَيْتَ مَالًا جَمَعْتَ؟
8,التمييز الناصبة فقط,Specification (Accusative Only),ذُو,للدلالة على التمييز,جاء ذو مال كثير,ذو: اسم تمييز، مال: تمييز منصوب,جَاءَ ذُو مَالٍ كَثِيرٍ
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),رُوَيْدَ,للأمر,يا ريحان رويد زيدا,رويد: اسم فعل أمر، زيدا: مفعول به منصوب,يَا رَيْحَانُ رُوَيْدَ زَيْدًا
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),بَلْهَ,للأمر,يا ولدان بله بسيطا,بله: اسم فعل أمر، بسيطا: مفعول به منصوب,يَا وَلَدَانِ بَلْهَ بَسِيطًا
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),دُونَكَ,للأمر,يا بسيط دونك الكتاب,دونك: اسم فعل أمر، الكتاب: مفعول به منصوب,يَا بَسِيطُ دُونَكَ الْكِتَابَ
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),عَلَيْكَ,للأمر,يا ريحان عليك مهتديا,عليك: اسم فعل أمر، مهتديا: مفعول به منصوب,يَا رَيْحَانُ عَلَيْكَ مُهْتَدِيًا
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),هَاءَ,للأمر,يا سرمين هاء درهمًا,هاء: اسم فعل أمر، درهمًا: مفعول به منصوب,يَا سَرْمِينُ هَاءَ دِرْهَمًا
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),حَيَّهَلَ,للأمر,يا ولدان حيهل القهوة,حيهل: اسم فعل أمر، القهوة: مفعول به منصوب,يَا وَلَدَانِ حَيَّهَلِ الْقَهْوَةَ
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),هَيْهَاتَ,للعجب,هيهات العقيق,هيهات: اسم فعل ماض، العقيق: فاعل مرفوع,هَيْهَاتَ الْعَقِيقُ
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),شَتَّانَ,للعجب,شتان سرمين وبسيط,شتان: اسم فعل ماض، سرمين: فاعل مرفوع,شَتَّانَ سَرْمِينُ وَبَسِيطٌ
9,الأوامر والتعجب الإعرابية,Commands and Exclamation (Grammatical),سُرْعَانَ,للعجب,سرعان زيد خروجا,سرعان: اسم فعل ماض، زيد: فاعل مرفوع,سُرْعَانَ زَيْدٌ خُرُوجًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),كَانَ,للزمن,كان العالم طالبا,كان: فعل ناقص، العالم: اسم مرفوع، طالبا: خبر منصوب,كَانَ الْعَالِمُ طَالِبًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),صَارَ,للزمن,صار الحديد سيفا,صار: فعل ناقص، الحديد: اسم مرفوع، سيفا: خبر منصوب,صَارَ الْحَدِيدُ سَيْفًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),أَصْبَحَ,للزمن,أصبح البرد شديدا,أصبح: فعل ناقص، البرد: اسم مرفوع، شديدا: خبر منصوب,أَصْبَحَ الْبَرْدُ شَدِيدًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),أَمْسَى,للزمن,أمسى الفلاح راجعا,أمسى: فعل ناقص، الفلاح: اسم مرفوع، راجعا: خبر منصوب,أَمْسَى الْفَلَّاحُ رَاجِعًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),أَضْحَى,للزمن,أضحى الطالب مصليا,أضحى: فعل ناقص، الطالب: اسم مرفوع، مصليا: خبر منصوب,أَضْحَى الطَّالِبُ مُصَلِّيًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),ظَلَّ,للزمن,ظل بسيط صائما,ظل: فعل ناقص، بسيط: اسم مرفوع، صائما: خبر منصوب,ظَلَّ بَسِيطٌ صَائِمًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),بَاتَ,للزمن,بات الطالب متدرسا,بات: فعل ناقص، الطالب: اسم مرفوع، متدرسا: خبر منصوب,بَاتَ الطَّالِبُ مُتَدَرِّسًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا زَالَ,للزمن,ما زال زيد منفردا,ما زال: فعل ناقص، زيد: اسم مرفوع، منفردا: خبر منصوب,مَا زَالَ زَيْدٌ مُنْفَرِدًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا بَرِحَ,للزمن,ما برح الجهل مضرا,ما برح: فعل ناقص، الجهل: اسم مرفوع، مضرا: خبر منصوب,مَا بَرِحَ الْجَهْلُ مُضِرًّا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا فَتِئَ,للزمن,ما فتئ سرمين متبسما,ما فتئ: فعل ناقص، سرمين: اسم مرفوع، متبسما: خبر منصوب,مَا فَتِئَ سَرْمِينُ مُتَبَسِّمًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا انْفَكَّ,للزمن,ما انفك هاشم عالما,ما انفك: فعل ناقص، هاشم: اسم مرفوع، عالما: خبر منصوب,مَا انْفَكَّ هَاشِمٌ عَالِمًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),مَا دَامَ,للزمن,ما دام الفاسق مترددا,ما دام: فعل ناقص، الفاسق: اسم مرفوع، مترددا: خبر منصوب,مَا دَامَ الْفَاسِقُ مُتَرَدِّدًا
10,الزمن والنفي الإعرابية,Time and Negation (Grammatical),لَيْسَ,للنفي,ليس زيد حاضرا,ليس: فعل ناقص، زيد: اسم مرفوع، حاضرا: خبر منصوب,لَيْسَ زَيْدٌ حَاضِرًا
11,القرب الإعرابية,Approximation (Grammatical),عَسَى,للرجاء,عسى زيد أن يحضر,عسى: فعل رجاء، زيد: اسم مرفوع، أن يحضر: خبر منصوب,عَسَى زَيْدٌ أَنْ يَحْضُرَ
11,القرب الإعرابية,Approximation (Grammatical),كَادَ,للقرب,كاد زيد يقوم,كاد: فعل مقاربة، زيد: اسم مرفوع، يقوم: خبر مرفوع/منصوب عند الجرجاني,كَادَ زَيْدٌ يَقُومُ
11,القرب الإعرابية,Approximation (Grammatical),كَرَبَ,للقرب,كرب القلب يذوب,كرب: فعل مقاربة، القلب: اسم مرفوع، يذوب: خبر مرفوع/منصوب عند الجرجاني,كَرُبَ الْقَلْبُ يَذُوبُ
11,القرب الإعرابية,Approximation (Grammatical),أَوْشَكَ,للقرب,أوشك زيد أن يقوم,أوشك: فعل مقاربة، زيد: اسم مرفوع، أن يقوم: خبر منصوب,أَوْشَكَ زَيْدٌ أَنْ يَقُومَ
12,التقييم الرافعة فقط,Evaluation (Nominative Only),نِعْمَ,للمدح,نعم الرجل محمد,نعم: فعل مدح، الرجل: اسم جنس مرفوع، محمد: مخصوص بالمدح مرفوع,نِعْمَ الرَّجُلُ مُحَمَّدٌ
12,التقييم الرافعة فقط,Evaluation (Nominative Only),بِئْسَ,للذم,بئس الطالب النوام,بئس: فعل ذم، الطالب: اسم جنس مرفوع، النوام: مخصوص بالذم مرفوع,بِئْسَ الطَّالِبُ النَّوَّامُ
12,التقييم الرافعة فقط,Evaluation (Nominative Only),سَاءَ,للذم,ساء الطالب الكسول,ساء: فعل ذم، الطالب: اسم جنس مرفوع، الكسول: مخصوص بالذم مرفوع,سَاءَ الطَّالِبُ الْكَسُولُ
12,التقييم الرافعة فقط,Evaluation (Nominative Only),حَبَّذَا,للمدح,حبذا زيد,حَبَّذَا: فعل مدح، زَيْدٌ: مخصوص بالمدح مرفوع,حَبَّذَا زَيْدٌ
13,التفكير الناصبة فقط,Cognition (Accusative Only),حَسِبْتُ,للظن,حسبت زيدا حاضرا,حسبت: فعل قلب، زيدا: مفعول أول منصوب، حاضرا: مفعول ثان منصوب,حَسِبْتُ زَيْدًا حَاضِرًا
13,التفكير الناصبة فقط,Cognition (Accusative Only),خِلْتُ,للظن,خلت الهلال لائحا,خلت: فعل قلب، الهلال: مفعول أول منصوب، لائحا: مفعول ثان منصوب,خِلْتُ الْهِلَالَ لَائِحًا
13,التفكير الناصبة فقط,Cognition (Accusative Only),ظَنَنْتُ,للظن,ظننت زيدا قائما,ظننت: فعل قلب، زيدا: مفعول أول منصوب، قائما: مفعول ثان منصوب,ظَنَنْتُ زَيْدًا قَائِمًا
13,التفكير الناصبة فقط,Cognition (Accusative Only),رَأَيْتُ,لليقين,رأيت الطالب ناجحا,رأيت: فعل يقين، الطالب: مفعول أول منصوب، ناجحا: مفعول ثان منصوب,رَأَيْتُ الطَّالِبَ نَاجِحًا
13,التفكير الناصبة فقط,Cognition (Accusative Only),عَلِمْتُ,لليقين,علمت الزاهد مرزوقا,علمت: فعل يقين، الزاهد: مفعول أول منصوب، مرزوقا: مفعول ثان منصوب,عَلِمْتُ الزَّاهِدَ مَرْزُوقًا
13,التفكير الناصبة فقط,Cognition (Accusative Only),وَجَدْتُ,لليقين,وجدت العلم نافعا,وجدت: فعل يقين، العلم: مفعول أول منصوب، نافعا: مفعول ثان منصوب,وَجَدْتُ الْعِلْمَ نَافِعًا
13,التفكير الناصبة فقط,Cognition (Accusative Only),زَعَمْتُ,للشك,زعمت زيدا عالما,زعمت: فعل شك، زيدا: مفعول أول منصوب، عالما: مفعول ثان منصوب,زَعَمْتُ زَيْدًا عَالِمًا
