mabni_id,surface_vocalized,surface_bare,surface_kind,lexical_class,lexical_family,source_file,source_record_id,blocks_root_path,contract_state,estimated_form,attachment_type,notes,evidence_mode,derived_from
ATTACHED_PRONOUN_TAU,تُ,ت,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,66,False,NONE,,SUFFIX,multi-form: تُ تَ تِ; representative form تُ,DIRECT,
ATTACHED_PRONOUN_WAW_AL_JAMAA,وا,وا,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,67,False,NONE,,SUFFIX,,DIRECT,
ATTACHED_PRONOUN_ALIF_AL_ITHNAYN,ا,ا,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,68,False,NONE,,SUFFIX,,DIRECT,
ATTACHED_PRONOUN_NUN_AL_NISWA,نَ,ن,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,69,False,NONE,,SUFFIX,,DIRECT,
ATTACHED_PRONOUN_YA_AL_MUKHATABA,ي,ي,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,70,False,NONE,,SUFFIX,,DIRECT,
ATTACHED_PRONOUN_HA,هُ,ه,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,72,False,NONE,,SUFFIX,also serves as مضاف إليه and جر,DIRECT,
ATTACHED_PRONOUN_KAF,كَ,ك,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,73,False,NONE,,SUFFIX,also serves as مضاف إليه and جر,DIRECT,
ATTACHED_PRONOUN_YA_AL_MUTAKALLIM,ي,ي,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,74,False,NONE,,SUFFIX,ياء المتكلم; same glyph as ياء المخاطبة but different role,DIRECT,
ATTACHED_PRONOUN_NA,نَا,نا,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,84,False,NONE,,SUFFIX,مشترك: رفع/نصب/جر,DIRECT,
ATTACHED_PRONOUN_KUM,كُمْ,كم,ATTACHED,ATTACHED_PRONOUN,ATTACHED_PRONOUN_SERIES,pronouns_classification.json,85,False,NONE,,SUFFIX,,DIRECT,
LATENT_PRONOUN_ANA,,,LATENT,LATENT_PRONOUN,LATENT_PRONOUN_SERIES,hidden_pronouns.json,1,False,NONE,أَنَا,,,DIRECT,
LATENT_PRONOUN_ANTA,,,LATENT,LATENT_PRONOUN,LATENT_PRONOUN_SERIES,hidden_pronouns.json,2,False,NONE,أَنْتَ,,,DIRECT,
LATENT_PRONOUN_ANTI,,,LATENT,LATENT_PRONOUN,LATENT_PRONOUN_SERIES,hidden_pronouns.json,3,False,NONE,أَنْتِ,,,DIRECT,
LATENT_PRONOUN_HUWA,,,LATENT,LATENT_PRONOUN,LATENT_PRONOUN_SERIES,hidden_pronouns.json,4,False,NONE,هُوَ,,,DIRECT,
LATENT_PRONOUN_HIYA,,,LATENT,LATENT_PRONOUN,LATENT_PRONOUN_SERIES,hidden_pronouns.json,5,False,NONE,هِيَ,,,DIRECT,
LATENT_PRONOUN_HUM,,,LATENT,LATENT_PRONOUN,LATENT_PRONOUN_SERIES,hidden_pronouns.json,6,False,NONE,هُمْ,,,DIRECT,
LATENT_PRONOUN_HUNNA,,,LATENT,LATENT_PRONOUN,LATENT_PRONOUN_SERIES,hidden_pronouns.json,7,False,NONE,هُنَّ,,,DIRECT,
LATENT_PRONOUN_NAHNU,,,LATENT,LATENT_PRONOUN,LATENT_PRONOUN_SERIES,hidden_pronouns.json,8,False,NONE,نَحْنُ,,,DIRECT,
HADHA,هَذَا,هذا,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,1,True,NONE,,,,DIRECT,
HADHIHI,هَذِهِ,هذه,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,2,True,NONE,,,,DIRECT,
HADHIY,هَذِي,هذي,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,3,True,NONE,,,,DIRECT,
HAHUNA,هَاهُنَا,هاهنا,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,4,True,NONE,,,,DIRECT,
DHAKA,ذَاكَ,ذاك,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,5,True,NONE,,,,DIRECT,
TILKA,تِلْكَ,تلك,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,6,True,NONE,,,,DIRECT,
TIKA,تِيكَ,تيك,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,7,True,NONE,,,,DIRECT,
DHALIKA,ذَلِكَ,ذلك,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,9,True,NONE,,,,DIRECT,
HUNA_ISHARI,هُنَا,هنا,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,11,True,NONE,,,,DIRECT,
HUNALIKA,هُنَالِكَ,هنالك,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,12,True,NONE,,,,DIRECT,
HAAULAI,هَؤُلَاءِ,هؤلاء,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,13,True,NONE,,,,DIRECT,
ULAIKA,أُولَئِكَ,أولئك,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,14,True,NONE,,,,DIRECT,
HUNAKA,هُنَاكَ,هناك,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,28,True,NONE,,,,DIRECT,
AULAI,أُولَاءِ,أولاء,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,30,True,NONE,,,,DIRECT,
DHA,ذَا,ذا,OVERT,DEMONSTRATIVE,DEMONSTRATIVE_SERIES,demonstrative_pronouns.json,33,True,NONE,,,,DIRECT,
ALLADHI,الَّذِي,الذي,OVERT,RELATIVE_PRONOUN,RELATIVE_PRONOUN_SERIES,relative_pronouns.json,1,True,OPEN,,,,DIRECT,
ALLATI,الَّتِي,التي,OVERT,RELATIVE_PRONOUN,RELATIVE_PRONOUN_SERIES,relative_pronouns.json,2,True,OPEN,,,,DIRECT,
MAN_MAWSUL,مَنْ,من,OVERT,RELATIVE_PRONOUN,RELATIVE_PRONOUN_SERIES,relative_pronouns.json,3,True,OPEN,,,,DIRECT,
MA_MAWSUL,مَا,ما,OVERT,RELATIVE_PRONOUN,RELATIVE_PRONOUN_SERIES,relative_pronouns.json,4,True,OPEN,,,,DIRECT,
ALLADHINA,الَّذِينَ,الذين,OVERT,RELATIVE_PRONOUN,RELATIVE_PRONOUN_SERIES,relative_pronouns.json,9,True,OPEN,,,,DIRECT,
ALLALATI,اللَّاتِي,اللاتي,OVERT,RELATIVE_PRONOUN,RELATIVE_PRONOUN_SERIES,relative_pronouns.json,10,True,OPEN,,,,DIRECT,
ALLAIY,اللَّائِي,اللائي,OVERT,RELATIVE_PRONOUN,RELATIVE_PRONOUN_SERIES,relative_pronouns.json,11,True,OPEN,,,,DIRECT,
IN,إِنْ,إن,OVERT,CONDITIONAL_PARTICLE,CONDITIONAL_SERIES,conditional_letters_tools.json,1,True,OPEN,,,,DIRECT,
IDHMA,إِذْمَا,إذما,OVERT,CONDITIONAL_PARTICLE,CONDITIONAL_SERIES,conditional_letters_tools.json,2,True,OPEN,,,,DIRECT,
LAW,لَوْ,لو,OVERT,CONDITIONAL_PARTICLE,CONDITIONAL_SERIES,conditional_letters_tools.json,3,True,OPEN,,,,DIRECT,
LAWLA,لَوْلَا,لولا,OVERT,CONDITIONAL_PARTICLE,CONDITIONAL_SERIES,conditional_letters_tools.json,4,True,OPEN,,,,DIRECT,
LAWMA,لَوْمَا,لوما,OVERT,CONDITIONAL_PARTICLE,CONDITIONAL_SERIES,conditional_letters_tools.json,5,True,OPEN,,,,DIRECT,
AMMA,أَمَّا,أما,OVERT,CONDITIONAL_PARTICLE,CONDITIONAL_SERIES,conditional_letters_tools.json,6,True,OPEN,,,,DIRECT,
AYNA_SHART,أَيْنَ,أين,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,7,True,OPEN,,,,DIRECT,
AYNAMA,أَيْنَمَا,أينما,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,8,True,OPEN,,,,DIRECT,
KAYFAMA,كَيْفَمَا,كيفما,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,9,True,OPEN,,,,DIRECT,
MATA,مَتَى,متى,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,10,True,OPEN,,,,DIRECT,
MATA_MA,مَتَى مَا,متى ما,PHRASE,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,11,True,OPEN,,,PHRASE_LEXEME,DIRECT,
HAYTHUMA,حَيْثُمَا,حيثما,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,12,True,OPEN,,,,DIRECT,
ANNA_SHART,أَنَّى,أنى,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,13,True,OPEN,,,,DIRECT,
MAHMA,مَهْمَا,مهما,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,14,True,OPEN,,,,DIRECT,
IDHA_SHART,إِذَا,إذا,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,16,True,OPEN,,,,DIRECT,
KULLAMA,كُلَّمَا,كلما,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,17,True,OPEN,,,,DIRECT,
MA_SHART,مَا,ما,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,18,True,OPEN,,,,DIRECT,
LAMMA_COND,لَمَّا,لما,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,19,True,OPEN,,,,DIRECT,
MAN_SHART,مَنْ,من,OVERT,CONDITIONAL_NAME,CONDITIONAL_SERIES,conditional_letters_tools.json,20,True,OPEN,,,,DIRECT,
INNA,إِنَّ,إن,OVERT,COPULATIVE_PARTICLE,COPULATIVE_SERIES,copulative_particle.json,1,True,OPEN,,,,DIRECT,
ANNA,أَنَّ,أن,OVERT,COPULATIVE_PARTICLE,COPULATIVE_SERIES,copulative_particle.json,2,True,OPEN,,,,DIRECT,
KAANNA,كَأَنَّ,كأن,OVERT,COPULATIVE_PARTICLE,COPULATIVE_SERIES,copulative_particle.json,3,True,OPEN,,,,DIRECT,
LAKINNA,لَكِنَّ,لكن,OVERT,COPULATIVE_PARTICLE,COPULATIVE_SERIES,copulative_particle.json,4,True,OPEN,,,,DIRECT,
LAYTA,لَيْتَ,ليت,OVERT,COPULATIVE_PARTICLE,COPULATIVE_SERIES,copulative_particle.json,5,True,OPEN,,,,DIRECT,
LAALLA,لَعَلَّ,لعل,OVERT,COPULATIVE_PARTICLE,COPULATIVE_SERIES,copulative_particle.json,6,True,OPEN,,,,DIRECT,
LA_NAFIYA_LIL_JINS,لَا,لا,OVERT,COPULATIVE_PARTICLE,COPULATIVE_SERIES,copulative_particle.json,7,True,OPEN,,,,DIRECT,
LAM,لَمْ,لم,OVERT,JAZM_PARTICLE,JAZM_SERIES,jazm_tools.json,1,True,OPEN,,,,DIRECT,
LAMMA_JAZM,لَمَّا,لما,OVERT,JAZM_PARTICLE,JAZM_SERIES,jazm_tools.json,2,True,OPEN,,,,DIRECT,
LI_JAZM,لِ,ل,OVERT,JAZM_PARTICLE,JAZM_SERIES,jazm_tools.json,3,True,OPEN,,,,DIRECT,
LA_NAHY,لَا النَّاهِيَة,لا الناهية,OVERT,JAZM_PARTICLE,JAZM_SERIES,jazm_tools.json,4,True,OPEN,,,,DIRECT,
IN_SHART,إِنْ,إن,OVERT,JAZM_PARTICLE,JAZM_SERIES,jazm_tools.json,5,True,OPEN,,,,DIRECT,
IDHMA_JAZM,إِذْمَا,إذما,OVERT,JAZM_PARTICLE,JAZM_SERIES,jazm_tools.json,6,True,OPEN,,,,DIRECT,
MAN_JAZM,مَنْ,من,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,7,True,OPEN,,,,DIRECT,
MA_JAZM,مَا,ما,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,8,True,OPEN,,,,DIRECT,
MAHMA_JAZM,مَهْمَا,مهما,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,9,True,OPEN,,,,DIRECT,
MATA_JAZM,مَتَى,متى,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,10,True,OPEN,,,,DIRECT,
AYYAANA_JAZM,أَيَّانَ,أيان,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,11,True,OPEN,,,,DIRECT,
AYNA_JAZM,أَيْنَ,أين,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,12,True,OPEN,,,,DIRECT,
HAYTHUMA_JAZM,حَيْثُمَا,حيثما,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,13,True,OPEN,,,,DIRECT,
ANNA_JAZM,أَنَّى,أنى,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,14,True,OPEN,,,,DIRECT,
IYY_JAZM,أَيُّ,أي,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,15,True,OPEN,,,,DIRECT,
AYYAMA_JAZM,أَيَّ,أي,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,16,True,OPEN,,,,DIRECT,
AYNAMA_JAZM,أَيْنَمَا,أينما,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,19,True,OPEN,,,,DIRECT,
KAYFAMA_JAZM,كَيْفَمَا,كيفما,OVERT,JAZM_NAME,JAZM_SERIES,jazm_tools.json,20,True,OPEN,,,,DIRECT,
WA_ATF,وَ,و,OVERT,COORDINATING_CONJUNCTION,WA_ATF,coordinating_conjunctions.json,1,True,NONE,,,,DIRECT,
FA_ATF,فَ,ف,OVERT,COORDINATING_CONJUNCTION,FA_ATF,coordinating_conjunctions.json,2,True,NONE,,,,DIRECT,
THUMMA_ATF,ثُمَّ,ثم,OVERT,COORDINATING_CONJUNCTION,THUMMA_ATF,coordinating_conjunctions.json,3,True,NONE,,,,DIRECT,
HATTA_ATF,حَتّى,حتى,OVERT,COORDINATING_CONJUNCTION,HATTA_ATF,coordinating_conjunctions.json,4,True,NONE,,,,DIRECT,
AW,أَوْ,أو,OVERT,COORDINATING_CONJUNCTION,AW,coordinating_conjunctions.json,5,True,NONE,,,,DIRECT,
AM,أَمْ,أم,OVERT,COORDINATING_CONJUNCTION,AM,coordinating_conjunctions.json,6,True,NONE,,,,DIRECT,
BAL,بَلْ,بل,OVERT,COORDINATING_CONJUNCTION,BAL,coordinating_conjunctions.json,7,True,NONE,,,,DIRECT,
LAKIN_ATF,لَكِنْ,لكن,OVERT,COORDINATING_CONJUNCTION,LAKIN_ATF,coordinating_conjunctions.json,8,True,NONE,,,,DIRECT,
LA_ATF,لَا,لا,OVERT,COORDINATING_CONJUNCTION,LA_ATF,coordinating_conjunctions.json,9,True,NONE,,,,DIRECT,
IMMA,إِمَّا,إما,OVERT,COORDINATING_CONJUNCTION,IMMA,coordinating_conjunctions.json,19,True,NONE,,,,DIRECT,
HAL,هَلْ,هل,OVERT,INTERROGATIVE_PARTICLE,HAL,interrogative_letters_tools.json,1,True,NONE,,,,DIRECT,
HAMZA_ISTIFHAM,أَ,أ,OVERT,INTERROGATIVE_PARTICLE,HAMZA_ISTIFHAM,interrogative_letters_tools.json,2,True,NONE,,,,DIRECT,
MAN_ISTIFHAM,مَنْ,من,OVERT,INTERROGATIVE_NAME,MAN_ISTIFHAM,interrogative_tools_categories.json,1,True,NONE,,,,DIRECT,
MAN_DHA,مَنْ ذَا,من ذا,PHRASE,INTERROGATIVE_NAME,MAN_DHA,interrogative_tools_categories.json,2,True,NONE,,,,DIRECT,
MA_ISTIFHAM,مَا,ما,OVERT,INTERROGATIVE_NAME,MA_ISTIFHAM,interrogative_tools_categories.json,3,True,NONE,,,,DIRECT,
MADHA,مَاذَا,ماذا,OVERT,INTERROGATIVE_NAME,MADHA,interrogative_tools_categories.json,4,True,NONE,,,,DIRECT,
MATA_ISTIFHAM,مَتَى,متى,OVERT,INTERROGATIVE_NAME,MATA_ISTIFHAM,interrogative_tools_categories.json,5,True,NONE,,,,DIRECT,
AYYAAN_ISTIFHAM,أَيَّانَ,أيان,OVERT,INTERROGATIVE_NAME,AYYAAN_ISTIFHAM,interrogative_tools_categories.json,6,True,NONE,,,,DIRECT,
AYNA_ISTIFHAM,أَيْنَ,أين,OVERT,INTERROGATIVE_NAME,AYNA_ISTIFHAM,interrogative_tools_categories.json,7,True,NONE,,,,DIRECT,
ANNA_ISTIFHAM,أَنَّى,أنى,OVERT,INTERROGATIVE_NAME,ANNA_ISTIFHAM,interrogative_tools_categories.json,8,True,NONE,,,,DIRECT,
KAM_ISTIFHAM2,كَمْ,كم,OVERT,INTERROGATIVE_NAME,KAM_ISTIFHAM2,interrogative_tools_categories.json,9,True,NONE,,,,DIRECT,
KAYFA,كَيْفَ,كيف,OVERT,INTERROGATIVE_NAME,KAYFA,interrogative_tools_categories.json,10,True,NONE,,,,DIRECT,
AYYA_ISTIFHAM,أَيُّ,أي,OVERT,INTERROGATIVE_NAME,AYYA_ISTIFHAM,interrogative_tools_categories.json,11,True,NONE,,,,DIRECT,
NAAM,نَعَمْ,نعم,OVERT,ANSWER_PARTICLE,NAAM,letters_answers.json,1,True,NONE,,,,DIRECT,
BALA,بَلَى,بلى,OVERT,ANSWER_PARTICLE,BALA,letters_answers.json,2,True,NONE,,,,DIRECT,
AJAL,أَجَلْ,أجل,OVERT,ANSWER_PARTICLE,AJAL,letters_answers.json,3,True,NONE,,,,DIRECT,
IN_JAWAB,إِنَّ,إن,OVERT,ANSWER_PARTICLE,IN_JAWAB,letters_answers.json,4,True,NONE,,,answer particle; same surface as copulative إِنَّ but different function,DIRECT,
IY_JAWAB,إِيْ,إي,OVERT,ANSWER_PARTICLE,IY_JAWAB,letters_answers.json,5,True,NONE,,,,DIRECT,
AWA,أَوَى,أوى,OVERT,ANSWER_PARTICLE,AWA,letters_answers.json,6,True,NONE,,,,DIRECT,
AFI,أَفِي,أفي,OVERT,ANSWER_PARTICLE,AFI,letters_answers.json,7,True,NONE,,,,DIRECT,
NAAMMA,نَعَمَّا,نعما,OVERT,ANSWER_PARTICLE,NAAMMA,letters_answers.json,8,True,NONE,,,,DIRECT,
KALLA,كَلَّا,كلا,OVERT,ANSWER_PARTICLE,KALLA,letters_answers.json,9,True,NONE,,,,DIRECT,
BAJAL,بَجَلْ,بجل,OVERT,ANSWER_PARTICLE,BAJAL,letters_answers.json,10,True,NONE,,,,DIRECT,
YA_NIDA,يَا,يا,OVERT,VOCATIVE_PARTICLE,YA_NIDA,vocative_particles.json,1,True,OPEN,,,,DIRECT,
AYYA_NIDA,أَيَا,أيا,OVERT,VOCATIVE_PARTICLE,AYYA_NIDA,vocative_particles.json,2,True,OPEN,,,,DIRECT,
HAYA_NIDA,هَيَا,هيا,OVERT,VOCATIVE_PARTICLE,HAYA_NIDA,vocative_particles.json,3,True,OPEN,,,,DIRECT,
AYI_NIDA,أَيْ,أي,OVERT,VOCATIVE_PARTICLE,AYI_NIDA,vocative_particles.json,4,True,OPEN,,,,DIRECT,
AY_NIDA,آيْ,آي,OVERT,VOCATIVE_PARTICLE,AY_NIDA,vocative_particles.json,5,True,OPEN,,,,DIRECT,
AYYUHA,أَيُّهَا,أيها,OVERT,VOCATIVE_PARTICLE,AYYUHA,vocative_particles.json,6,True,OPEN,,,,DIRECT,
WA_NIDA,وَا,وا,OVERT,VOCATIVE_PARTICLE,WA_NIDA,vocative_particles.json,7,True,OPEN,,,,DIRECT,
AA_NIDA,آ,آ,OVERT,VOCATIVE_PARTICLE,AA_NIDA,vocative_particles.json,8,True,OPEN,,,,DIRECT,
A_NIDA,أَ,أ,OVERT,VOCATIVE_PARTICLE,A_NIDA,vocative_particles.json,9,True,OPEN,,,,DIRECT,
AN,أَنْ,أن,OVERT,NASEB_PARTICLE,AN,present_naseb_tools.json,1,True,OPEN,,,,DIRECT,
LAN,لَنْ,لن,OVERT,NASEB_PARTICLE,LAN,present_naseb_tools.json,2,True,OPEN,,,,DIRECT,
IDHAN,إِذَنْ,إذن,OVERT,NASEB_PARTICLE,IDHAN,present_naseb_tools.json,3,True,OPEN,,,,DIRECT,
KAY_NASB,كَيْ,كي,OVERT,NASEB_PARTICLE,KAY_NASB,present_naseb_tools.json,4,True,OPEN,,,,DIRECT,
LI_NASB,لِ,ل,OVERT,NASEB_PARTICLE,LI_NASB,present_naseb_tools.json,5,True,OPEN,,,,DIRECT,
LI_JUHUD,لِ,ل,OVERT,NASEB_PARTICLE,LI_JUHUD,present_naseb_tools.json,6,True,OPEN,,,,DIRECT,
HATTA_NASB,حَتَّى,حتى,OVERT,NASEB_PARTICLE,HATTA_NASB,present_naseb_tools.json,7,True,OPEN,,,,DIRECT,
FA_SABABIYYA,فَ,ف,OVERT,NASEB_PARTICLE,FA_SABABIYYA,present_naseb_tools.json,8,True,OPEN,,,,DIRECT,
WA_MAIYYA,وَ,و,OVERT,NASEB_PARTICLE,WA_MAIYYA,present_naseb_tools.json,9,True,OPEN,,,,DIRECT,
AW_NASB,أَوْ,أو,OVERT,NASEB_PARTICLE,AW_NASB,present_naseb_tools.json,10,True,OPEN,,,,DIRECT,
BI_PREP,بِ,ب,OVERT,PREPOSITION,BI_PREP,preposition_meanings.json,1,True,NONE,,,,DIRECT,
TA_QASAM,تَ,ت,OVERT,PREPOSITION,TA_QASAM,preposition_meanings.json,11,True,NONE,,,,DIRECT,
WA_QASAM,وَ,و,OVERT,PREPOSITION,WA_QASAM,preposition_meanings.json,12,True,NONE,,,,DIRECT,
KA_PREP,كَ,ك,OVERT,PREPOSITION,KA_PREP,preposition_meanings.json,13,True,NONE,,,,DIRECT,
AN_PREP,عَنْ,عن,OVERT,PREPOSITION,AN_PREP,preposition_meanings.json,16,True,NONE,,,,DIRECT,
FI_PREP,فِي ْ,في ,OVERT,PREPOSITION,FI_PREP,preposition_meanings.json,20,True,NONE,,,,DIRECT,
MUNDHU_PREP,مُنْذُ,منذ,OVERT,PREPOSITION,MUNDHU_PREP,preposition_meanings.json,23,True,NONE,,,compound entry مُذْ وَ مُنْذُ; also MUDH_PREP,DIRECT,
MUDH_PREP,مُذْ,مذ,OVERT,PREPOSITION,MUDH_PREP,preposition_meanings.json,23,True,NONE,,,from compound entry مُذْ وَ مُنْذُ,DIRECT,
LI_PREP,لِ,ل,OVERT,PREPOSITION,LI_PREP,preposition_meanings.json,25,True,NONE,,,,DIRECT,
LA_ISTIGHATHA,لَ,ل,OVERT,PREPOSITION,LA_ISTIGHATHA,preposition_meanings.json,30,True,NONE,,,,DIRECT,
MIN_PREP,مِنَ,من,OVERT,PREPOSITION,MIN_PREP,preposition_meanings.json,32,True,NONE,,,,DIRECT,
